year,apogee,proca,pruned,plot,score_factor
2018,Bloom,Yes,No,D.II,2
2019,Bloom,Yes,No,D.II,3
2019,Bloom,Yes,No,D.II,3
2019,Bloom,Yes,No,D.II,2
2019,Bloom,Yes,No,D.II,2
2019,Bloom,Yes,No,D.II,3
2019,Bloom,Yes,No,D.II,3
2019,Bloom,Yes,No,D.II,3
2019,Bloom,Yes,No,D.II,3
2019,Bloom,Yes,No,D.II,2
2019,Bloom,Yes,No,D.II,3
2019,Bloom,Yes,No,D.II,2
2019,Bloom,Yes,No,D.II,3
2019,Bloom,Yes,No,D.II,3
2019,Bloom,Yes,No,D.II,1
2019,Bloom,Yes,No,D.II,3
2019,Bloom,Yes,No,D.II,3
2019,Bloom,Yes,No,D.II,2
2019,Bloom,Yes,No,D.II,1
2019,Bloom,Yes,No,D.II,2
2019,Bloom,Yes,No,D.II,3
2019,Bloom,Yes,No,D.II,1
2019,Bloom,Yes,No,D.II,3
2019,Bloom,Yes,No,D.II,3
2018,Symptom,Yes,Yes,E.II,2
2018,Symptom,Yes,Yes,E.II,1
2018,Symptom,Yes,Yes,E.II,2
2018,Symptom,Yes,Yes,E.II,2
2018,Symptom,Yes,Yes,E.II,1
2018,Symptom,Yes,Yes,E.II,1
2018,Symptom,Yes,Yes,E.II,2
2018,Symptom,Yes,Yes,E.II,4
2018,Symptom,Yes,Yes,E.II,2
2018,Symptom,Yes,Yes,E.II,2
2018,Symptom,Yes,Yes,E.II,1
2018,Symptom,Yes,Yes,E.II,1
2018,Symptom,Yes,Yes,E.II,1
2018,Symptom,Yes,Yes,E.II,1
2018,Symptom,Yes,Yes,E.II,4
2018,Symptom,Yes,Yes,E.II,2
2018,Symptom,Yes,Yes,E.II,1
2018,Symptom,Yes,Yes,E.II,2
2018,Symptom,Yes,Yes,E.II,2
2018,Symptom,Yes,Yes,E.II,4
2018,Symptom,Yes,Yes,E.II,2
2018,Symptom,Yes,Yes,E.II,1
2018,Symptom,Yes,Yes,E.II,2
2018,Symptom,Yes,Yes,E.II,1
2019,Symptom,Yes,Yes,E.II,4
2019,Symptom,Yes,Yes,E.II,4
2019,Symptom,Yes,Yes,E.II,4
2019,Symptom,Yes,Yes,E.II,4
2019,Symptom,Yes,Yes,E.II,4
2019,Symptom,Yes,Yes,E.II,4
2019,Symptom,Yes,Yes,E.II,3
2019,Symptom,Yes,Yes,E.II,4
2019,Symptom,Yes,Yes,E.II,4
2019,Symptom,Yes,Yes,E.II,3
2019,Symptom,Yes,Yes,E.II,3
2019,Symptom,Yes,Yes,E.II,3
2019,Symptom,Yes,Yes,E.II,3
2019,Symptom,Yes,Yes,E.II,4
2019,Symptom,Yes,Yes,E.II,2
2019,Symptom,Yes,Yes,E.II,3
2019,Symptom,Yes,Yes,E.II,3
2019,Symptom,Yes,Yes,E.II,4
2019,Symptom,Yes,Yes,E.II,4
2019,Symptom,Yes,Yes,E.II,2
2019,Symptom,Yes,Yes,E.II,3
2019,Symptom,Yes,Yes,E.II,3
2019,Symptom,Yes,Yes,E.II,3
2019,Symptom,Yes,Yes,E.II,3
2019,Symptom,Yes,Yes,E.II,4
2018,Symptom,Yes,No,F.II,2
2018,Symptom,Yes,No,F.II,2
2018,Symptom,Yes,No,F.II,2
2018,Symptom,Yes,No,F.II,2
2018,Symptom,Yes,No,F.II,2
2018,Symptom,Yes,No,F.II,2
2018,Symptom,Yes,No,F.II,1
2018,Symptom,Yes,No,F.II,2
2018,Symptom,Yes,No,F.II,1
2018,Symptom,Yes,No,F.II,2
2018,Symptom,Yes,No,F.II,2
2018,Symptom,Yes,No,F.II,1
2018,Symptom,Yes,No,F.II,2
2018,Symptom,Yes,No,F.II,2
2018,Symptom,Yes,No,F.II,1
2018,Symptom,Yes,No,F.II,1
2018,Symptom,Yes,No,F.II,1
2018,Symptom,Yes,No,F.II,2
2018,Symptom,Yes,No,F.II,2
2018,Symptom,Yes,No,F.II,1
2018,Symptom,Yes,No,F.II,2
2018,Symptom,Yes,No,F.II,1
2018,Symptom,Yes,No,F.II,1
2019,Symptom,Yes,No,F.II,3
2019,Symptom,Yes,No,F.II,3
2019,Symptom,Yes,No,F.II,2
2019,Symptom,Yes,No,F.II,3
2019,Symptom,Yes,No,F.II,2
2019,Symptom,Yes,No,F.II,2
2019,Symptom,Yes,No,F.II,2
2019,Symptom,Yes,No,F.II,2
2019,Symptom,Yes,No,F.II,2
